location,Type of House,Price of m2,Land Area,Total Price Number,Total Price
"Bến Nghé, Quận 1",Biệt thự,1.12,800,896.0000000000001,896 triệu
"Bến Nghé, Quận 1",Biệt thự,1.12,820,918.4000000000001,918 triệu
"Bến Nghé, Quận 1",Biệt thự,1.12,840,940.8000000000001,941 triệu
"Bến Nghé, Quận 1",Biệt thự,1.12,860,963.2,963 triệu
"Bến Nghé, Quận 1",Biệt thự,1.12,880,985.6000000000001,986 triệu
"Bến Nghé, Quận 1",Biệt thự,1.12,900,1008.0000000000001,1.01 tỷ
"Bến Nghé, Quận 1",Biệt thự,1.12,920,1030.4,1.03 tỷ
"Bến Nghé, Quận 1",Biệt thự,1.12,940,1052.8000000000002,1.05 tỷ
"Bến Nghé, Quận 1",Biệt thự,1.12,960,1075.2,1.08 tỷ
"Bến Nghé, Quận 1",Biệt thự,1.12,980,1097.6000000000001,1.1 tỷ
"Bến Nghé, Quận 1",Biệt thự,1.12,1000,1120.0,1.12 tỷ
"Bến Nghé, Quận 1",Nhà hẻm,250.0,40,10000.0,10.0 tỷ
"Bến Nghé, Quận 1",Nhà hẻm,250.0,60,15000.0,15.0 tỷ
"Bến Nghé, Quận 1",Nhà hẻm,250.0,80,20000.0,20.0 tỷ
"Bến Nghé, Quận 1",Nhà hẻm,250.0,100,25000.0,25.0 tỷ
"Bến Nghé, Quận 1",Nhà hẻm,250.0,120,30000.0,30.0 tỷ
"Bến Nghé, Quận 1",Nhà hẻm,250.0,140,35000.0,35.0 tỷ
"Bến Nghé, Quận 1",Nhà hẻm,250.0,160,40000.0,40.0 tỷ
"Bến Nghé, Quận 1",Đất thổ cư,262.5,60,15750.0,15.75 tỷ
"Bến Nghé, Quận 1",Đất thổ cư,262.5,80,21000.0,21.0 tỷ
"Bến Nghé, Quận 1",Đất thổ cư,262.5,100,26250.0,26.25 tỷ
"Bến Nghé, Quận 1",Đất thổ cư,262.5,120,31500.0,31.5 tỷ
"Bến Nghé, Quận 1",Đất thổ cư,262.5,140,36750.0,36.75 tỷ
"Bến Nghé, Quận 1",Đất thổ cư,262.5,160,42000.0,42.0 tỷ
"Bến Nghé, Quận 1",Đất thổ cư,262.5,180,47250.0,47.25 tỷ
"Bến Nghé, Quận 1",Đất thổ cư,262.5,200,52500.0,52.5 tỷ
"Bến Nghé, Quận 1",Đất thổ cư,262.5,220,57750.0,57.75 tỷ
"Bến Nghé, Quận 1",Đất thổ cư,262.5,240,63000.0,63.0 tỷ
"Bến Nghé, Quận 1",Đất thổ cư,262.5,260,68250.0,68.25 tỷ
"Bến Nghé, Quận 1",Đất thổ cư,262.5,280,73500.0,73.5 tỷ
"Bến Nghé, Quận 1",Đất thổ cư,262.5,300,78750.0,78.75 tỷ
"Bến Nghé, Quận 1",Đất thổ cư,262.5,320,84000.0,84.0 tỷ
"Bến Nghé, Quận 1",Đất thổ cư,262.5,340,89250.0,89.25 tỷ
"Bến Nghé, Quận 1",Đất thổ cư,262.5,360,94500.0,94.5 tỷ
"Bến Nghé, Quận 1",Đất thổ cư,262.5,380,99750.0,99.75 tỷ
"Bến Nghé, Quận 1",Đất thổ cư,262.5,400,105000.0,105.0 tỷ
"Bến Nghé, Quận 1",Đất thổ cư,262.5,420,110250.0,110.25 tỷ
"Bến Nghé, Quận 1",Đất thổ cư,262.5,440,115500.0,115.5 tỷ
"Bến Nghé, Quận 1",Đất thổ cư,262.5,460,120750.0,120.75 tỷ
"Bến Nghé, Quận 1",Đất thổ cư,262.5,480,126000.0,126.0 tỷ
"Bến Nghé, Quận 1",Đất thổ cư,262.5,500,131250.0,131.25 tỷ
"Bến Nghé, Quận 1",Chung cư,143.75,30,4312.5,4.31 tỷ
"Bến Nghé, Quận 1",Chung cư,143.75,50,7187.5,7.19 tỷ
"Bến Nghé, Quận 1",Chung cư,143.75,70,10062.5,10.06 tỷ
"Bến Nghé, Quận 1",Chung cư,143.75,90,12937.5,12.94 tỷ
"Bến Nghé, Quận 1",Chung cư,143.75,110,15812.5,15.81 tỷ
"Bến Nghé, Quận 1",Chung cư,143.75,130,18687.5,18.69 tỷ
"Bến Nghé, Quận 1",Chung cư,143.75,150,21562.5,21.56 tỷ
"Bến Thành, Quận 1",Nhà mặt tiền,643.75,60,38625.0,38.62 tỷ
"Bến Thành, Quận 1",Nhà mặt tiền,643.75,80,51500.0,51.5 tỷ
"Bến Thành, Quận 1",Nhà mặt tiền,643.75,100,64375.0,64.38 tỷ
"Bến Thành, Quận 1",Nhà mặt tiền,643.75,120,77250.0,77.25 tỷ
"Bến Thành, Quận 1",Nhà mặt tiền,643.75,140,90125.0,90.12 tỷ
"Bến Thành, Quận 1",Nhà mặt tiền,643.75,160,103000.0,103.0 tỷ
"Bến Thành, Quận 1",Nhà mặt tiền,643.75,180,115875.0,115.88 tỷ
"Bến Thành, Quận 1",Nhà mặt tiền,643.75,200,128750.0,128.75 tỷ
"Bến Thành, Quận 1",Nhà mặt tiền,643.75,220,141625.0,141.62 tỷ
"Bến Thành, Quận 1",Nhà mặt tiền,643.75,240,154500.0,154.5 tỷ
"Bến Thành, Quận 1",Nhà mặt tiền,643.75,260,167375.0,167.38 tỷ
"Bến Thành, Quận 1",Nhà mặt tiền,643.75,280,180250.0,180.25 tỷ
"Bến Thành, Quận 1",Nhà mặt tiền,643.75,300,193125.0,193.12 tỷ
"Bến Thành, Quận 1",Nhà mặt tiền,643.75,320,206000.0,206.0 tỷ
"Bến Thành, Quận 1",Nhà mặt tiền,643.75,340,218875.0,218.88 tỷ
"Bến Thành, Quận 1",Nhà mặt tiền,643.75,360,231750.0,231.75 tỷ
"Bến Thành, Quận 1",Nhà mặt tiền,643.75,380,244625.0,244.62 tỷ
"Bến Thành, Quận 1",Nhà mặt tiền,643.75,400,257500.0,257.5 tỷ
"Bến Thành, Quận 1",Biệt thự,1.12,200,224.00000000000003,224 triệu
"Bến Thành, Quận 1",Biệt thự,1.12,220,246.40000000000003,246 triệu
"Bến Thành, Quận 1",Biệt thự,1.12,240,268.8,269 triệu
"Bến Thành, Quận 1",Biệt thự,1.12,260,291.20000000000005,291 triệu
"Bến Thành, Quận 1",Biệt thự,1.12,280,313.6,314 triệu
"Bến Thành, Quận 1",Biệt thự,1.12,300,336.00000000000006,336 triệu
"Bến Thành, Quận 1",Biệt thự,1.12,320,358.40000000000003,358 triệu
"Bến Thành, Quận 1",Biệt thự,1.12,340,380.8,381 triệu
"Bến Thành, Quận 1",Biệt thự,1.12,360,403.20000000000005,403 triệu
"Bến Thành, Quận 1",Biệt thự,1.12,380,425.6,426 triệu
"Bến Thành, Quận 1",Biệt thự,1.12,400,448.00000000000006,448 triệu
"Bến Thành, Quận 1",Biệt thự,1.12,420,470.40000000000003,470 triệu
"Bến Thành, Quận 1",Biệt thự,1.12,440,492.80000000000007,493 triệu
"Bến Thành, Quận 1",Biệt thự,1.12,460,515.2,515 triệu
"Bến Thành, Quận 1",Biệt thự,1.12,480,537.6,538 triệu
"Bến Thành, Quận 1",Biệt thự,1.12,500,560.0,560 triệu
"Bến Thành, Quận 1",Biệt thự,1.12,520,582.4000000000001,582 triệu
"Bến Thành, Quận 1",Biệt thự,1.12,540,604.8000000000001,605 triệu
"Bến Thành, Quận 1",Biệt thự,1.12,560,627.2,627 triệu
"Bến Thành, Quận 1",Biệt thự,1.12,580,649.6,650 triệu
"Bến Thành, Quận 1",Biệt thự,1.12,600,672.0000000000001,672 triệu
"Bến Thành, Quận 1",Biệt thự,1.12,620,694.4000000000001,694 triệu
"Bến Thành, Quận 1",Biệt thự,1.12,640,716.8000000000001,717 triệu
"Bến Thành, Quận 1",Biệt thự,1.12,660,739.2,739 triệu
"Bến Thành, Quận 1",Biệt thự,1.12,680,761.6,762 triệu
"Bến Thành, Quận 1",Biệt thự,1.12,700,784.0000000000001,784 triệu
"Bến Thành, Quận 1",Biệt thự,1.12,720,806.4000000000001,806 triệu
"Bến Thành, Quận 1",Biệt thự,1.12,740,828.8000000000001,829 triệu
"Bến Thành, Quận 1",Biệt thự,1.12,760,851.2,851 triệu
"Bến Thành, Quận 1",Biệt thự,1.12,780,873.6000000000001,874 triệu
"Bến Thành, Quận 1",Biệt thự,1.12,800,896.0000000000001,896 triệu
"Bến Thành, Quận 1",Biệt thự,1.12,820,918.4000000000001,918 triệu
"Bến Thành, Quận 1",Biệt thự,1.12,840,940.8000000000001,941 triệu
"Bến Thành, Quận 1",Biệt thự,1.12,860,963.2,963 triệu
"Bến Thành, Quận 1",Biệt thự,1.12,880,985.6000000000001,986 triệu
"Bến Thành, Quận 1",Biệt thự,1.12,900,1008.0000000000001,1.01 tỷ
"Bến Thành, Quận 1",Biệt thự,1.12,920,1030.4,1.03 tỷ
"Bến Thành, Quận 1",Biệt thự,1.12,940,1052.8000000000002,1.05 tỷ
"Bến Thành, Quận 1",Biệt thự,1.12,960,1075.2,1.08 tỷ
"Bến Thành, Quận 1",Biệt thự,1.12,980,1097.6000000000001,1.1 tỷ
"Bến Thành, Quận 1",Biệt thự,1.12,1000,1120.0,1.12 tỷ
"Bến Thành, Quận 1",Nhà hẻm,250.0,40,10000.0,10.0 tỷ
"Bến Thành, Quận 1",Nhà hẻm,250.0,60,15000.0,15.0 tỷ
"Bến Thành, Quận 1",Nhà hẻm,250.0,80,20000.0,20.0 tỷ
"Bến Thành, Quận 1",Nhà hẻm,250.0,100,25000.0,25.0 tỷ
"Bến Thành, Quận 1",Nhà hẻm,250.0,120,30000.0,30.0 tỷ
"Bến Thành, Quận 1",Nhà hẻm,250.0,140,35000.0,35.0 tỷ
"Bến Thành, Quận 1",Nhà hẻm,250.0,160,40000.0,40.0 tỷ
"Bến Thành, Quận 1",Đất thổ cư,262.5,60,15750.0,15.75 tỷ
"Bến Thành, Quận 1",Đất thổ cư,262.5,80,21000.0,21.0 tỷ
"Bến Thành, Quận 1",Đất thổ cư,262.5,100,26250.0,26.25 tỷ
"Bến Thành, Quận 1",Đất thổ cư,262.5,120,31500.0,31.5 tỷ
"Bến Thành, Quận 1",Đất thổ cư,262.5,140,36750.0,36.75 tỷ
"Bến Thành, Quận 1",Đất thổ cư,262.5,160,42000.0,42.0 tỷ
"Bến Thành, Quận 1",Đất thổ cư,262.5,180,47250.0,47.25 tỷ
"Bến Thành, Quận 1",Đất thổ cư,262.5,200,52500.0,52.5 tỷ
"Bến Thành, Quận 1",Đất thổ cư,262.5,220,57750.0,57.75 tỷ
"Bến Thành, Quận 1",Đất thổ cư,262.5,240,63000.0,63.0 tỷ
"Bến Thành, Quận 1",Đất thổ cư,262.5,260,68250.0,68.25 tỷ
"Bến Thành, Quận 1",Đất thổ cư,262.5,280,73500.0,73.5 tỷ
"Bến Thành, Quận 1",Đất thổ cư,262.5,300,78750.0,78.75 tỷ
"Bến Thành, Quận 1",Đất thổ cư,262.5,320,84000.0,84.0 tỷ
"Bến Thành, Quận 1",Đất thổ cư,262.5,340,89250.0,89.25 tỷ
"Bến Thành, Quận 1",Đất thổ cư,262.5,360,94500.0,94.5 tỷ
"Bến Thành, Quận 1",Đất thổ cư,262.5,380,99750.0,99.75 tỷ
"Bến Thành, Quận 1",Đất thổ cư,262.5,400,105000.0,105.0 tỷ
"Bến Thành, Quận 1",Đất thổ cư,262.5,420,110250.0,110.25 tỷ
"Bến Thành, Quận 1",Đất thổ cư,262.5,440,115500.0,115.5 tỷ
"Bến Thành, Quận 1",Đất thổ cư,262.5,460,120750.0,120.75 tỷ
"Bến Thành, Quận 1",Đất thổ cư,262.5,480,126000.0,126.0 tỷ
"Bến Thành, Quận 1",Đất thổ cư,262.5,500,131250.0,131.25 tỷ
"Bến Thành, Quận 1",Chung cư,143.75,30,4312.5,4.31 tỷ
"Bến Thành, Quận 1",Chung cư,143.75,50,7187.5,7.19 tỷ
"Bến Thành, Quận 1",Chung cư,143.75,70,10062.5,10.06 tỷ
"Bến Thành, Quận 1",Chung cư,143.75,90,12937.5,12.94 tỷ
"Bến Thành, Quận 1",Chung cư,143.75,110,15812.5,15.81 tỷ
"Bến Thành, Quận 1",Chung cư,143.75,130,18687.5,18.69 tỷ
"Bến Thành, Quận 1",Chung cư,143.75,150,21562.5,21.56 tỷ
"Cầu Kho, Quận 1",Nhà mặt tiền,489.25,60,29355.0,29.36 tỷ
"Cầu Kho, Quận 1",Nhà mặt tiền,489.25,80,39140.0,39.14 tỷ
"Cầu Kho, Quận 1",Nhà mặt tiền,489.25,100,48925.0,48.92 tỷ
"Cầu Kho, Quận 1",Nhà mặt tiền,489.25,120,58710.0,58.71 tỷ
"Cầu Kho, Quận 1",Nhà mặt tiền,489.25,140,68495.0,68.5 tỷ
"Cầu Kho, Quận 1",Nhà mặt tiền,489.25,160,78280.0,78.28 tỷ
"Cầu Kho, Quận 1",Nhà mặt tiền,489.25,180,88065.0,88.06 tỷ
"Cầu Kho, Quận 1",Nhà mặt tiền,489.25,200,97850.0,97.85 tỷ
"Cầu Kho, Quận 1",Nhà mặt tiền,489.25,220,107635.0,107.64 tỷ
"Cầu Kho, Quận 1",Nhà mặt tiền,489.25,240,117420.0,117.42 tỷ
"Cầu Kho, Quận 1",Nhà mặt tiền,489.25,260,127205.0,127.2 tỷ
"Cầu Kho, Quận 1",Nhà mặt tiền,489.25,280,136990.0,136.99 tỷ
"Cầu Kho, Quận 1",Nhà mặt tiền,489.25,300,146775.0,146.78 tỷ
"Cầu Kho, Quận 1",Nhà mặt tiền,489.25,320,156560.0,156.56 tỷ
"Cầu Kho, Quận 1",Nhà mặt tiền,489.25,340,166345.0,166.34 tỷ
"Cầu Kho, Quận 1",Nhà mặt tiền,489.25,360,176130.0,176.13 tỷ
"Cầu Kho, Quận 1",Nhà mặt tiền,489.25,380,185915.0,185.91 tỷ
"Cầu Kho, Quận 1",Nhà mặt tiền,489.25,400,195700.0,195.7 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,200,171000.0,171.0 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,220,188100.0,188.1 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,240,205200.0,205.2 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,260,222300.0,222.3 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,280,239400.0,239.4 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,300,256500.0,256.5 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,320,273600.0,273.6 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,340,290700.0,290.7 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,360,307800.0,307.8 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,380,324900.0,324.9 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,400,342000.0,342.0 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,420,359100.0,359.1 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,440,376200.0,376.2 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,460,393300.0,393.3 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,480,410400.0,410.4 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,500,427500.0,427.5 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,520,444600.0,444.6 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,540,461700.0,461.7 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,560,478800.0,478.8 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,580,495900.0,495.9 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,600,513000.0,513.0 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,620,530100.0,530.1 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,640,547200.0,547.2 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,660,564300.0,564.3 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,680,581400.0,581.4 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,700,598500.0,598.5 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,720,615600.0,615.6 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,740,632700.0,632.7 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,760,649800.0,649.8 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,780,666900.0,666.9 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,800,684000.0,684.0 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,820,701100.0,701.1 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,840,718200.0,718.2 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,860,735300.0,735.3 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,880,752400.0,752.4 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,900,769500.0,769.5 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,920,786600.0,786.6 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,940,803700.0,803.7 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,960,820800.0,820.8 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,980,837900.0,837.9 tỷ
"Cầu Kho, Quận 1",Biệt thự,855.0,1000,855000.0,855.0 tỷ
"Cầu Kho, Quận 1",Nhà hẻm,190.0,40,7600.0,7.6 tỷ
"Cầu Kho, Quận 1",Nhà hẻm,190.0,60,11400.0,11.4 tỷ
"Cầu Kho, Quận 1",Nhà hẻm,190.0,80,15200.0,15.2 tỷ
"Cầu Kho, Quận 1",Nhà hẻm,190.0,100,19000.0,19.0 tỷ
"Cầu Kho, Quận 1",Nhà hẻm,190.0,120,22800.0,22.8 tỷ
"Cầu Kho, Quận 1",Nhà hẻm,190.0,140,26600.0,26.6 tỷ
"Cầu Kho, Quận 1",Nhà hẻm,190.0,160,30400.0,30.4 tỷ
"Cầu Kho, Quận 1",Đất thổ cư,199.5,60,11970.0,11.97 tỷ
"Cầu Kho, Quận 1",Đất thổ cư,199.5,80,15960.0,15.96 tỷ
"Cầu Kho, Quận 1",Đất thổ cư,199.5,100,19950.0,19.95 tỷ
"Cầu Kho, Quận 1",Đất thổ cư,199.5,120,23940.0,23.94 tỷ
"Cầu Kho, Quận 1",Đất thổ cư,199.5,140,27930.0,27.93 tỷ
"Cầu Kho, Quận 1",Đất thổ cư,199.5,160,31920.0,31.92 tỷ
"Cầu Kho, Quận 1",Đất thổ cư,199.5,180,35910.0,35.91 tỷ
"Cầu Kho, Quận 1",Đất thổ cư,199.5,200,39900.0,39.9 tỷ
"Cầu Kho, Quận 1",Đất thổ cư,199.5,220,43890.0,43.89 tỷ
"Cầu Kho, Quận 1",Đất thổ cư,199.5,240,47880.0,47.88 tỷ
"Cầu Kho, Quận 1",Đất thổ cư,199.5,260,51870.0,51.87 tỷ
"Cầu Kho, Quận 1",Đất thổ cư,199.5,280,55860.0,55.86 tỷ
"Cầu Kho, Quận 1",Đất thổ cư,199.5,300,59850.0,59.85 tỷ
"Cầu Kho, Quận 1",Đất thổ cư,199.5,320,63840.0,63.84 tỷ
"Cầu Kho, Quận 1",Đất thổ cư,199.5,340,67830.0,67.83 tỷ
"Cầu Kho, Quận 1",Đất thổ cư,199.5,360,71820.0,71.82 tỷ
"Cầu Kho, Quận 1",Đất thổ cư,199.5,380,75810.0,75.81 tỷ
"Cầu Kho, Quận 1",Đất thổ cư,199.5,400,79800.0,79.8 tỷ
"Cầu Kho, Quận 1",Đất thổ cư,199.5,420,83790.0,83.79 tỷ
"Cầu Kho, Quận 1",Đất thổ cư,199.5,440,87780.0,87.78 tỷ
"Cầu Kho, Quận 1",Đất thổ cư,199.5,460,91770.0,91.77 tỷ
"Cầu Kho, Quận 1",Đất thổ cư,199.5,480,95760.0,95.76 tỷ
"Cầu Kho, Quận 1",Đất thổ cư,199.5,500,99750.0,99.75 tỷ
"Cầu Kho, Quận 1",Chung cư,109.25,30,3277.5,3.28 tỷ
"Cầu Kho, Quận 1",Chung cư,109.25,50,5462.5,5.46 tỷ
"Cầu Kho, Quận 1",Chung cư,109.25,70,7647.5,7.65 tỷ
"Cầu Kho, Quận 1",Chung cư,109.25,90,9832.5,9.83 tỷ
"Cầu Kho, Quận 1",Chung cư,109.25,110,12017.5,12.02 tỷ
"Cầu Kho, Quận 1",Chung cư,109.25,130,14202.5,14.2 tỷ
"Cầu Kho, Quận 1",Chung cư,109.25,150,16387.5,16.39 tỷ
"Cầu Ông Lãnh, Quận 1",Nhà mặt tiền,489.25,60,29355.0,29.36 tỷ
"Cầu Ông Lãnh, Quận 1",Nhà mặt tiền,489.25,80,39140.0,39.14 tỷ
"Cầu Ông Lãnh, Quận 1",Nhà mặt tiền,489.25,100,48925.0,48.92 tỷ
"Cầu Ông Lãnh, Quận 1",Nhà mặt tiền,489.25,120,58710.0,58.71 tỷ
"Cầu Ông Lãnh, Quận 1",Nhà mặt tiền,489.25,140,68495.0,68.5 tỷ
"Cầu Ông Lãnh, Quận 1",Nhà mặt tiền,489.25,160,78280.0,78.28 tỷ
"Cầu Ông Lãnh, Quận 1",Nhà mặt tiền,489.25,180,88065.0,88.06 tỷ
"Cầu Ông Lãnh, Quận 1",Nhà mặt tiền,489.25,200,97850.0,97.85 tỷ
"Cầu Ông Lãnh, Quận 1",Nhà mặt tiền,489.25,220,107635.0,107.64 tỷ
"Cầu Ông Lãnh, Quận 1",Nhà mặt tiền,489.25,240,117420.0,117.42 tỷ
"Cầu Ông Lãnh, Quận 1",Nhà mặt tiền,489.25,260,127205.0,127.2 tỷ
"Cầu Ông Lãnh, Quận 1",Nhà mặt tiền,489.25,280,136990.0,136.99 tỷ
"Cầu Ông Lãnh, Quận 1",Nhà mặt tiền,489.25,300,146775.0,146.78 tỷ
"Cầu Ông Lãnh, Quận 1",Nhà mặt tiền,489.25,320,156560.0,156.56 tỷ
"Cầu Ông Lãnh, Quận 1",Nhà mặt tiền,489.25,340,166345.0,166.34 tỷ
"Cầu Ông Lãnh, Quận 1",Nhà mặt tiền,489.25,360,176130.0,176.13 tỷ
"Cầu Ông Lãnh, Quận 1",Nhà mặt tiền,489.25,380,185915.0,185.91 tỷ
"Cầu Ông Lãnh, Quận 1",Nhà mặt tiền,489.25,400,195700.0,195.7 tỷ
"Cầu Ông Lãnh, Quận 1",Biệt thự,855.0,200,171000.0,171.0 tỷ
"Cầu Ông Lãnh, Quận 1",Biệt thự,855.0,220,188100.0,188.1 tỷ
"Cầu Ông Lãnh, Quận 1",Biệt thự,855.0,240,205200.0,205.2 tỷ
"Cầu Ông Lãnh, Quận 1",Biệt thự,855.0,260,222300.0,222.3 tỷ
"Cầu Ông Lãnh, Quận 1",Biệt thự,855.0,280,239400.0,239.4 tỷ
"Cầu Ông Lãnh, Quận 1",Biệt thự,855.0,300,256500.0,256.5 tỷ
"Cầu Ông Lãnh, Quận 1",Biệt thự,855.0,320,273600.0,273.6 tỷ
"Cầu Ông Lãnh, Quận 1",Biệt thự,855.0,340,290700.0,290.7 tỷ
"Cầu Ông Lãnh, Quận 1",Biệt thự,855.0,360,307800.0,307.8 tỷ
"Cầu Ông Lãnh, Quận 1",Biệt thự,855.0,380,324900.0,324.9 tỷ
"Cầu Ông Lãnh, Quận 1",Biệt thự,855.0,400,342000.0,342.0 tỷ
"Cầu Ông Lãnh, Quận 1",Biệt thự,855.0,420,359100.0,359.1 tỷ
"Cầu Ông Lãnh, Quận 1",Biệt thự,855.0,440,376200.0,376.2 tỷ
"Cầu Ông Lãnh, Quận 1",Biệt thự,855.0,460,393300.0,393.3 tỷ
"Cầu Ông Lãnh, Quận 1",Biệt thự,855.0,480,410400.0,410.4 tỷ
